date,vaccine,people_vaccinated,people_fully_vaccinated,total_vaccinations,location,source_url
2021-06-20,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4811672,2547795,7280498,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-21,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4844153,2626191,7389941,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4877067,2708276,7503326,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-23,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4908684,2793347,7618211,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4938462,2883243,7736057,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4969453,2969196,7851294,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4985272,3003892,7901780,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4999188,3030452,7942249,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5027557,3115478,8054390,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5056765,3201817,8168489,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-06-30,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5084220,3292586,8285360,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5108101,3382421,8397315,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5134755,3468053,8507900,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5141812,3499474,8546363,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5149328,3521205,8575602,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5156645,3546476,8608177,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5162006,3574008,8641053,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5187743,3652815,8744620,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5214263,3722990,8840006,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5242031,3792109,8935472,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5251322,3820641,8973277,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5259799,3843460,9004544,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5287207,3912421,9099601,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5313277,3982149,9193559,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-14,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5339015,4054022,9289183,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-15,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5368114,4119881,9381795,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5395783,4192425,9479542,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5404501,4223782,9519127,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5412896,4249717,9552913,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5436161,4316607,9641602,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-20,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5457433,4383519,9727877,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-21,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5480709,4446808,9811616,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5502891,4505238,9889200,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-23,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5525900,4559793,9963694,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5533167,4587338,9997341,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5539728,4609295,10024740,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5563119,4657709,10093920,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5585651,4704153,10159631,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5606703,4749955,10222750,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5627823,4791721,10282335,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-30,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5650838,4834092,10344419,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-07-31,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5659698,4853535,10371173,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5666309,4869633,10392558,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5684608,4906931,10445814,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5701981,4944866,10497933,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5717970,4981434,10547528,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5733734,5021527,10600376,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5750309,5064367,10656799,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5755771,5082389,10678903,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5759904,5097980,10697604,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5772448,5142854,10752822,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-10,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5784125,5182246,10801714,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5795374,5225186,10853709,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5806598,5262049,10899358,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5817094,5302012,10947767,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-14,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5820363,5312613,10960603,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-15,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5822911,5322929,10972849,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5832565,5356774,11014489,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5841945,5383624,11048840,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5851152,5422169,11094552,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5860646,5460246,11139715,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-20,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5871207,5499677,11187556,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
2021-08-21,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5873449,5511825,11201349,Czechia,https://onemocneni-aktualne.mzcr.cz/covid-19
