date,vaccine,total_vaccinations,location
2021-04-02,Moderna,0,South Korea
2021-04-02,Oxford/AstraZeneca,856859,South Korea
2021-04-02,Pfizer/BioNTech,126981,South Korea
2021-04-03,Johnson&Johnson,0,South Korea
2021-04-03,Moderna,0,South Korea
2021-04-03,Oxford/AstraZeneca,859278,South Korea
2021-04-03,Pfizer/BioNTech,133693,South Korea
2021-04-04,Johnson&Johnson,0,South Korea
2021-04-04,Moderna,0,South Korea
2021-04-04,Oxford/AstraZeneca,859337,South Korea
2021-04-04,Pfizer/BioNTech,134330,South Korea
2021-04-05,Johnson&Johnson,0,South Korea
2021-04-05,Moderna,0,South Korea
2021-04-05,Oxford/AstraZeneca,873811,South Korea
2021-04-05,Pfizer/BioNTech,157073,South Korea
2021-04-06,Johnson&Johnson,0,South Korea
2021-04-06,Moderna,0,South Korea
2021-04-06,Oxford/AstraZeneca,890194,South Korea
2021-04-06,Pfizer/BioNTech,185298,South Korea
2021-04-07,Johnson&Johnson,0,South Korea
2021-04-07,Moderna,1,South Korea
2021-04-07,Oxford/AstraZeneca,906965,South Korea
2021-04-07,Pfizer/BioNTech,215426,South Korea
2021-04-08,Johnson&Johnson,0,South Korea
2021-04-08,Moderna,1,South Korea
2021-04-08,Oxford/AstraZeneca,914187,South Korea
2021-04-08,Pfizer/BioNTech,254868,South Korea
2021-04-09,Johnson&Johnson,0,South Korea
2021-04-09,Moderna,1,South Korea
2021-04-09,Oxford/AstraZeneca,918355,South Korea
2021-04-09,Pfizer/BioNTech,291633,South Korea
2021-04-10,Johnson&Johnson,0,South Korea
2021-04-10,Moderna,1,South Korea
2021-04-10,Oxford/AstraZeneca,918917,South Korea
2021-04-10,Pfizer/BioNTech,300958,South Korea
2021-04-11,Johnson&Johnson,0,South Korea
2021-04-11,Moderna,1,South Korea
2021-04-11,Oxford/AstraZeneca,918917,South Korea
2021-04-11,Pfizer/BioNTech,301263,South Korea
2021-04-12,Johnson&Johnson,0,South Korea
2021-04-12,Moderna,1,South Korea
2021-04-12,Oxford/AstraZeneca,926402,South Korea
2021-04-12,Pfizer/BioNTech,332118,South Korea
2021-04-13,Johnson&Johnson,0,South Korea
2021-04-13,Moderna,1,South Korea
2021-04-13,Oxford/AstraZeneca,939500,South Korea
2021-04-13,Pfizer/BioNTech,363419,South Korea
2021-04-14,Johnson&Johnson,0,South Korea
2021-04-14,Moderna,1,South Korea
2021-04-14,Oxford/AstraZeneca,954431,South Korea
2021-04-14,Pfizer/BioNTech,395057,South Korea
2021-04-15,Johnson&Johnson,0,South Korea
2021-04-15,Moderna,1,South Korea
2021-04-15,Oxford/AstraZeneca,974656,South Korea
2021-04-15,Pfizer/BioNTech,468620,South Korea
2021-04-16,Johnson&Johnson,0,South Korea
2021-04-16,Moderna,1,South Korea
2021-04-16,Oxford/AstraZeneca,1001772,South Korea
2021-04-16,Pfizer/BioNTech,545223,South Korea
2021-04-17,Johnson&Johnson,0,South Korea
2021-04-17,Moderna,1,South Korea
2021-04-17,Oxford/AstraZeneca,1003119,South Korea
2021-04-17,Pfizer/BioNTech,573286,South Korea
2021-04-18,Johnson&Johnson,0,South Korea
2021-04-18,Moderna,1,South Korea
2021-04-18,Oxford/AstraZeneca,1003121,South Korea
2021-04-18,Pfizer/BioNTech,578150,South Korea
2021-04-19,Johnson&Johnson,0,South Korea
2021-04-19,Moderna,1,South Korea
2021-04-19,Oxford/AstraZeneca,1047187,South Korea
2021-04-19,Pfizer/BioNTech,657053,South Korea
2021-04-20,Johnson&Johnson,0,South Korea
2021-04-20,Moderna,1,South Korea
2021-04-20,Oxford/AstraZeneca,1096349,South Korea
2021-04-20,Pfizer/BioNTech,739271,South Korea
2021-04-21,Johnson&Johnson,0,South Korea
2021-04-21,Moderna,1,South Korea
2021-04-21,Oxford/AstraZeneca,1144603,South Korea
2021-04-21,Pfizer/BioNTech,823696,South Korea
2021-04-22,Johnson&Johnson,0,South Korea
2021-04-22,Moderna,1,South Korea
2021-04-22,Oxford/AstraZeneca,1198272,South Korea
2021-04-22,Pfizer/BioNTech,920465,South Korea
2021-04-23,Johnson&Johnson,0,South Korea
2021-04-23,Moderna,1,South Korea
2021-04-23,Oxford/AstraZeneca,1281620,South Korea
2021-04-23,Pfizer/BioNTech,1016968,South Korea
2021-04-24,Johnson&Johnson,0,South Korea
2021-04-24,Moderna,1,South Korea
2021-04-24,Oxford/AstraZeneca,1315782,South Korea
2021-04-24,Pfizer/BioNTech,1053685,South Korea
2021-04-25,Johnson&Johnson,0,South Korea
2021-04-25,Moderna,1,South Korea
2021-04-25,Oxford/AstraZeneca,1316942,South Korea
2021-04-25,Pfizer/BioNTech,1059180,South Korea
2021-04-26,Johnson&Johnson,0,South Korea
2021-04-26,Moderna,1,South Korea
2021-04-26,Oxford/AstraZeneca,1374393,South Korea
2021-04-26,Pfizer/BioNTech,1166151,South Korea
2021-04-27,Johnson&Johnson,0,South Korea
2021-04-27,Moderna,1,South Korea
2021-04-27,Oxford/AstraZeneca,1447763,South Korea
2021-04-27,Pfizer/BioNTech,1291579,South Korea
2021-04-28,Johnson&Johnson,0,South Korea
2021-04-28,Moderna,1,South Korea
2021-04-28,Oxford/AstraZeneca,1548248,South Korea
2021-04-28,Pfizer/BioNTech,1443686,South Korea
2021-04-29,Johnson&Johnson,0,South Korea
2021-04-29,Moderna,1,South Korea
2021-04-29,Oxford/AstraZeneca,1669421,South Korea
2021-04-29,Pfizer/BioNTech,1614866,South Korea
2021-04-30,Johnson&Johnson,0,South Korea
2021-04-30,Moderna,1,South Korea
2021-04-30,Oxford/AstraZeneca,1811512,South Korea
2021-04-30,Pfizer/BioNTech,1779634,South Korea
2021-05-01,Johnson&Johnson,0,South Korea
2021-05-01,Moderna,1,South Korea
2021-05-01,Oxford/AstraZeneca,1835605,South Korea
2021-05-01,Pfizer/BioNTech,1803411,South Korea
2021-05-02,Johnson&Johnson,0,South Korea
2021-05-02,Moderna,1,South Korea
2021-05-02,Oxford/AstraZeneca,1835917,South Korea
2021-05-02,Pfizer/BioNTech,1804974,South Korea
2021-05-03,Johnson&Johnson,0,South Korea
2021-05-03,Moderna,1,South Korea
2021-05-03,Oxford/AstraZeneca,1886806,South Korea
2021-05-03,Pfizer/BioNTech,1870831,South Korea
2021-05-04,Johnson&Johnson,0,South Korea
2021-05-04,Moderna,1,South Korea
2021-05-04,Oxford/AstraZeneca,1931268,South Korea
2021-05-04,Pfizer/BioNTech,1932396,South Korea
2021-05-05,Johnson&Johnson,0,South Korea
2021-05-05,Moderna,1,South Korea
2021-05-05,Oxford/AstraZeneca,1931899,South Korea
2021-05-05,Pfizer/BioNTech,1962417,South Korea
2021-05-06,Johnson&Johnson,0,South Korea
2021-05-06,Moderna,1,South Korea
2021-05-06,Oxford/AstraZeneca,1978818,South Korea
2021-05-06,Pfizer/BioNTech,2046509,South Korea
2021-05-07,Johnson&Johnson,0,South Korea
2021-05-07,Moderna,1,South Korea
2021-05-07,Oxford/AstraZeneca,2017505,South Korea
2021-05-07,Pfizer/BioNTech,2132634,South Korea
2021-05-08,Johnson&Johnson,0,South Korea
2021-05-08,Moderna,1,South Korea
2021-05-08,Oxford/AstraZeneca,2026830,South Korea
2021-05-08,Pfizer/BioNTech,2162966,South Korea
2021-05-09,Johnson&Johnson,0,South Korea
2021-05-09,Moderna,1,South Korea
2021-05-09,Oxford/AstraZeneca,2026831,South Korea
2021-05-09,Pfizer/BioNTech,2167703,South Korea
2021-05-10,Johnson&Johnson,0,South Korea
2021-05-10,Moderna,1,South Korea
2021-05-10,Oxford/AstraZeneca,2033909,South Korea
2021-05-10,Pfizer/BioNTech,2251664,South Korea
2021-05-11,Johnson&Johnson,0,South Korea
2021-05-11,Moderna,1,South Korea
2021-05-11,Oxford/AstraZeneca,2038254,South Korea
2021-05-11,Pfizer/BioNTech,2336652,South Korea
2021-05-12,Johnson&Johnson,0,South Korea
2021-05-12,Moderna,1,South Korea
2021-05-12,Oxford/AstraZeneca,2041865,South Korea
2021-05-12,Pfizer/BioNTech,2422062,South Korea
2021-05-13,Johnson&Johnson,0,South Korea
2021-05-13,Moderna,1,South Korea
2021-05-13,Oxford/AstraZeneca,2045799,South Korea
2021-05-13,Pfizer/BioNTech,2504762,South Korea
2021-05-14,Johnson&Johnson,0,South Korea
2021-05-14,Moderna,1,South Korea
2021-05-14,Oxford/AstraZeneca,2053721,South Korea
2021-05-14,Pfizer/BioNTech,2587867,South Korea
2021-05-15,Johnson&Johnson,0,South Korea
2021-05-15,Moderna,1,South Korea
2021-05-15,Oxford/AstraZeneca,2054331,South Korea
2021-05-15,Pfizer/BioNTech,2618711,South Korea
2021-05-16,Johnson&Johnson,0,South Korea
2021-05-16,Moderna,1,South Korea
2021-05-16,Oxford/AstraZeneca,2054332,South Korea
2021-05-16,Pfizer/BioNTech,2623705,South Korea
2021-05-17,Johnson&Johnson,0,South Korea
2021-05-17,Moderna,1,South Korea
2021-05-17,Oxford/AstraZeneca,2073332,South Korea
2021-05-17,Pfizer/BioNTech,2718456,South Korea
2021-05-18,Johnson&Johnson,0,South Korea
2021-05-18,Moderna,1,South Korea
2021-05-18,Oxford/AstraZeneca,2117174,South Korea
2021-05-18,Pfizer/BioNTech,2828977,South Korea
2021-05-19,Johnson&Johnson,0,South Korea
2021-05-19,Moderna,1,South Korea
2021-05-19,Oxford/AstraZeneca,2118202,South Korea
2021-05-19,Pfizer/BioNTech,2922836,South Korea
2021-05-20,Johnson&Johnson,0,South Korea
2021-05-20,Moderna,1,South Korea
2021-05-20,Oxford/AstraZeneca,2189548,South Korea
2021-05-20,Pfizer/BioNTech,3074993,South Korea
2021-05-21,Johnson&Johnson,0,South Korea
2021-05-21,Moderna,1,South Korea
2021-05-21,Oxford/AstraZeneca,2282116,South Korea
2021-05-21,Pfizer/BioNTech,3222328,South Korea
2021-05-22,Johnson&Johnson,0,South Korea
2021-05-22,Moderna,1,South Korea
2021-05-22,Oxford/AstraZeneca,2299027,South Korea
2021-05-22,Pfizer/BioNTech,3246318,South Korea
2021-05-23,Johnson&Johnson,0,South Korea
2021-05-23,Moderna,1,South Korea
2021-05-23,Oxford/AstraZeneca,2299343,South Korea
2021-05-23,Pfizer/BioNTech,3248926,South Korea
2021-05-24,Johnson&Johnson,0,South Korea
2021-05-24,Moderna,1,South Korea
2021-05-24,Oxford/AstraZeneca,2361544,South Korea
2021-05-24,Pfizer/BioNTech,3363565,South Korea
2021-05-25,Johnson&Johnson,0,South Korea
2021-05-25,Moderna,1,South Korea
2021-05-25,Oxford/AstraZeneca,2424383,South Korea
2021-05-25,Pfizer/BioNTech,3472438,South Korea
2021-05-26,Johnson&Johnson,0,South Korea
2021-05-26,Moderna,1,South Korea
2021-05-26,Oxford/AstraZeneca,2481719,South Korea
2021-05-26,Pfizer/BioNTech,3570502,South Korea
2021-05-27,Johnson&Johnson,0,South Korea
2021-05-27,Moderna,1,South Korea
2021-05-27,Oxford/AstraZeneca,3105010,South Korea
2021-05-27,Pfizer/BioNTech,3664342,South Korea
2021-05-28,Johnson&Johnson,0,South Korea
2021-05-28,Moderna,1,South Korea
2021-05-28,Oxford/AstraZeneca,3627185,South Korea
2021-05-28,Pfizer/BioNTech,3752395,South Korea
2021-05-29,Johnson&Johnson,0,South Korea
2021-05-29,Moderna,1,South Korea
2021-05-29,Oxford/AstraZeneca,3782784,South Korea
2021-05-29,Pfizer/BioNTech,3770320,South Korea
2021-05-30,Johnson&Johnson,0,South Korea
2021-05-30,Moderna,1,South Korea
2021-05-30,Oxford/AstraZeneca,3786867,South Korea
2021-05-30,Pfizer/BioNTech,3771053,South Korea
2021-05-31,Johnson&Johnson,0,South Korea
2021-05-31,Moderna,1,South Korea
2021-05-31,Oxford/AstraZeneca,4090974,South Korea
2021-05-31,Pfizer/BioNTech,3881222,South Korea
2021-06-01,Johnson&Johnson,0,South Korea
2021-06-01,Moderna,1,South Korea
2021-06-01,Oxford/AstraZeneca,4572610,South Korea
2021-06-01,Pfizer/BioNTech,3993644,South Korea
2021-06-02,Johnson&Johnson,0,South Korea
2021-06-02,Moderna,1,South Korea
2021-06-02,Oxford/AstraZeneca,4869748,South Korea
2021-06-02,Pfizer/BioNTech,4102296,South Korea
2021-06-03,Johnson&Johnson,0,South Korea
2021-06-03,Moderna,1,South Korea
2021-06-03,Oxford/AstraZeneca,5140203,South Korea
2021-06-03,Pfizer/BioNTech,4201571,South Korea
2021-06-04,Johnson&Johnson,0,South Korea
2021-06-04,Moderna,2,South Korea
2021-06-04,Oxford/AstraZeneca,5448475,South Korea
2021-06-04,Pfizer/BioNTech,4292302,South Korea
2021-06-05,Johnson&Johnson,0,South Korea
2021-06-05,Moderna,2,South Korea
2021-06-05,Oxford/AstraZeneca,5566531,South Korea
2021-06-05,Pfizer/BioNTech,4316718,South Korea
2021-06-06,Johnson&Johnson,0,South Korea
2021-06-06,Moderna,2,South Korea
2021-06-06,Oxford/AstraZeneca,5568739,South Korea
2021-06-06,Pfizer/BioNTech,4317478,South Korea
2021-06-07,Johnson&Johnson,0,South Korea
2021-06-07,Moderna,2,South Korea
2021-06-07,Oxford/AstraZeneca,6330455,South Korea
2021-06-07,Pfizer/BioNTech,4471233,South Korea
2021-06-08,Johnson&Johnson,0,South Korea
2021-06-08,Moderna,2,South Korea
2021-06-08,Oxford/AstraZeneca,6958083,South Korea
2021-06-08,Pfizer/BioNTech,4616082,South Korea
2021-06-09,Johnson&Johnson,0,South Korea
2021-06-09,Moderna,2,South Korea
2021-06-09,Oxford/AstraZeneca,7447384,South Korea
2021-06-09,Pfizer/BioNTech,4745499,South Korea
2021-06-10,Johnson&Johnson,252733,South Korea
2021-06-10,Moderna,2,South Korea
2021-06-10,Oxford/AstraZeneca,7883447,South Korea
2021-06-10,Pfizer/BioNTech,4859462,South Korea
2021-06-11,Johnson&Johnson,454787,South Korea
2021-06-11,Moderna,2,South Korea
2021-06-11,Oxford/AstraZeneca,8437001,South Korea
2021-06-11,Pfizer/BioNTech,4966428,South Korea
2021-06-12,Johnson&Johnson,569010,South Korea
2021-06-12,Moderna,2,South Korea
2021-06-12,Oxford/AstraZeneca,8695300,South Korea
2021-06-12,Pfizer/BioNTech,4987978,South Korea
2021-06-13,Johnson&Johnson,580782,South Korea
2021-06-13,Moderna,2,South Korea
2021-06-13,Oxford/AstraZeneca,8710744,South Korea
2021-06-13,Pfizer/BioNTech,4988856,South Korea
2021-06-14,Johnson&Johnson,752753,South Korea
2021-06-14,Moderna,2,South Korea
2021-06-14,Oxford/AstraZeneca,9291633,South Korea
2021-06-14,Pfizer/BioNTech,5092505,South Korea
2021-06-15,Johnson&Johnson,865181,South Korea
2021-06-15,Moderna,2,South Korea
2021-06-15,Oxford/AstraZeneca,9800136,South Korea
2021-06-15,Pfizer/BioNTech,5215712,South Korea
2021-06-16,Johnson&Johnson,1042904,South Korea
2021-06-16,Moderna,2,South Korea
2021-06-16,Oxford/AstraZeneca,10167117,South Korea
2021-06-16,Pfizer/BioNTech,5344681,South Korea
2021-06-17,Johnson&Johnson,1068690,South Korea
2021-06-17,Moderna,2,South Korea
2021-06-17,Oxford/AstraZeneca,10552465,South Korea
2021-06-17,Pfizer/BioNTech,5480622,South Korea
2021-06-18,Johnson&Johnson,1099520,South Korea
2021-06-18,Moderna,242,South Korea
2021-06-18,Oxford/AstraZeneca,11018074,South Korea
2021-06-18,Pfizer/BioNTech,5618228,South Korea
2021-06-19,Johnson&Johnson,1118555,South Korea
2021-06-19,Moderna,242,South Korea
2021-06-19,Oxford/AstraZeneca,11208311,South Korea
2021-06-19,Pfizer/BioNTech,5642323,South Korea
2021-06-20,Johnson&Johnson,1118976,South Korea
2021-06-20,Moderna,242,South Korea
2021-06-20,Oxford/AstraZeneca,11208323,South Korea
2021-06-20,Pfizer/BioNTech,5643218,South Korea
2021-06-21,Johnson&Johnson,1122158,South Korea
2021-06-21,Moderna,818,South Korea
2021-06-21,Oxford/AstraZeneca,11225850,South Korea
2021-06-21,Pfizer/BioNTech,5783669,South Korea
2021-06-22,Johnson&Johnson,1124635,South Korea
2021-06-22,Moderna,1729,South Korea
2021-06-22,Oxford/AstraZeneca,11246598,South Korea
2021-06-22,Pfizer/BioNTech,5931252,South Korea
2021-06-23,Johnson&Johnson,1125726,South Korea
2021-06-23,Moderna,4642,South Korea
2021-06-23,Oxford/AstraZeneca,11265238,South Korea
2021-06-23,Pfizer/BioNTech,6072002,South Korea
2021-06-24,Johnson&Johnson,1126275,South Korea
2021-06-24,Moderna,7943,South Korea
2021-06-24,Oxford/AstraZeneca,11281723,South Korea
2021-06-24,Pfizer/BioNTech,6204671,South Korea
2021-06-25,Johnson&Johnson,1126695,South Korea
2021-06-25,Moderna,17615,South Korea
2021-06-25,Oxford/AstraZeneca,11297832,South Korea
2021-06-25,Pfizer/BioNTech,6338807,South Korea
2021-06-26,Johnson&Johnson,1126784,South Korea
2021-06-26,Moderna,18367,South Korea
2021-06-26,Oxford/AstraZeneca,11298491,South Korea
2021-06-26,Pfizer/BioNTech,6372100,South Korea
2021-06-27,Johnson&Johnson,1126790,South Korea
2021-06-27,Moderna,18367,South Korea
2021-06-27,Oxford/AstraZeneca,11298491,South Korea
2021-06-27,Pfizer/BioNTech,6372834,South Korea
2021-06-28,Johnson&Johnson,1127250,South Korea
2021-06-28,Moderna,22808,South Korea
2021-06-28,Oxford/AstraZeneca,11308213,South Korea
2021-06-28,Pfizer/BioNTech,6515589,South Korea
2021-06-29,Johnson&Johnson,1127917,South Korea
2021-06-29,Moderna,30883,South Korea
2021-06-29,Oxford/AstraZeneca,11321935,South Korea
2021-06-29,Pfizer/BioNTech,6654187,South Korea
2021-06-30,Johnson&Johnson,1128653,South Korea
2021-06-30,Moderna,36325,South Korea
2021-06-30,Oxford/AstraZeneca,11335276,South Korea
2021-06-30,Pfizer/BioNTech,6785727,South Korea
2021-07-01,Johnson&Johnson,1129215,South Korea
2021-07-01,Moderna,37320,South Korea
2021-07-01,Oxford/AstraZeneca,11352276,South Korea
2021-07-01,Pfizer/BioNTech,6891703,South Korea
2021-07-02,Johnson&Johnson,1129567,South Korea
2021-07-02,Moderna,38800,South Korea
2021-07-02,Oxford/AstraZeneca,11375429,South Korea
2021-07-02,Pfizer/BioNTech,6992271,South Korea
2021-07-03,Johnson&Johnson,1129782,South Korea
2021-07-03,Moderna,39675,South Korea
2021-07-03,Oxford/AstraZeneca,11376217,South Korea
2021-07-03,Pfizer/BioNTech,7008691,South Korea
2021-07-04,Johnson&Johnson,1129782,South Korea
2021-07-04,Moderna,39675,South Korea
2021-07-04,Oxford/AstraZeneca,11376217,South Korea
2021-07-04,Pfizer/BioNTech,7009337,South Korea
2021-07-05,Johnson&Johnson,1129782,South Korea
2021-07-05,Moderna,42764,South Korea
2021-07-05,Oxford/AstraZeneca,11413707,South Korea
2021-07-05,Pfizer/BioNTech,7099692,South Korea
2021-07-06,Johnson&Johnson,1129782,South Korea
2021-07-06,Moderna,47004,South Korea
2021-07-06,Oxford/AstraZeneca,11456726,South Korea
2021-07-06,Pfizer/BioNTech,7181560,South Korea
2021-07-07,Johnson&Johnson,1129782,South Korea
2021-07-07,Moderna,51021,South Korea
2021-07-07,Oxford/AstraZeneca,11500352,South Korea
2021-07-07,Pfizer/BioNTech,7258363,South Korea
2021-07-08,Johnson&Johnson,1129782,South Korea
2021-07-08,Moderna,55833,South Korea
2021-07-08,Oxford/AstraZeneca,11552842,South Korea
2021-07-08,Pfizer/BioNTech,7345328,South Korea
2021-07-09,Johnson&Johnson,1129782,South Korea
2021-07-09,Moderna,62457,South Korea
2021-07-09,Oxford/AstraZeneca,11637601,South Korea
2021-07-09,Pfizer/BioNTech,7460889,South Korea
2021-07-10,Johnson&Johnson,1129782,South Korea
2021-07-10,Moderna,62469,South Korea
2021-07-10,Oxford/AstraZeneca,11669164,South Korea
2021-07-10,Pfizer/BioNTech,7481586,South Korea
2021-07-11,Johnson&Johnson,1129782,South Korea
2021-07-11,Moderna,62469,South Korea
2021-07-11,Oxford/AstraZeneca,11670112,South Korea
2021-07-11,Pfizer/BioNTech,7482229,South Korea
2021-07-12,Johnson&Johnson,1129782,South Korea
2021-07-12,Moderna,62520,South Korea
2021-07-12,Oxford/AstraZeneca,11724006,South Korea
2021-07-12,Pfizer/BioNTech,7553199,South Korea
2021-07-13,Johnson&Johnson,1129782,South Korea
2021-07-13,Moderna,62676,South Korea
2021-07-13,Oxford/AstraZeneca,11792074,South Korea
2021-07-13,Pfizer/BioNTech,7703089,South Korea
2021-07-14,Johnson&Johnson,1129782,South Korea
2021-07-14,Moderna,63377,South Korea
2021-07-14,Oxford/AstraZeneca,11876808,South Korea
2021-07-14,Pfizer/BioNTech,7852169,South Korea
2021-07-15,Johnson&Johnson,1129782,South Korea
2021-07-15,Moderna,63377,South Korea
2021-07-15,Oxford/AstraZeneca,11980120,South Korea
