date,vaccine,total_vaccinations,location
2021-02-22,Oxford/AstraZeneca,11476,Czechia
2021-02-22,Pfizer/BioNTech,531090,Czechia
2021-02-23,Moderna,34428,Czechia
2021-02-23,Oxford/AstraZeneca,14213,Czechia
2021-02-23,Pfizer/BioNTech,547412,Czechia
2021-02-24,Moderna,35759,Czechia
2021-02-24,Oxford/AstraZeneca,17149,Czechia
2021-02-24,Pfizer/BioNTech,562985,Czechia
2021-02-25,Pfizer/BioNTech,580915,Czechia
2021-02-25,Oxford/AstraZeneca,21503,Czechia
2021-02-25,Moderna,36943,Czechia
2021-02-26,Moderna,37785,Czechia
2021-02-26,Oxford/AstraZeneca,24856,Czechia
2021-02-26,Pfizer/BioNTech,598173,Czechia
2021-02-27,Moderna,37957,Czechia
2021-02-27,Oxford/AstraZeneca,25476,Czechia
2021-02-27,Pfizer/BioNTech,600930,Czechia
2021-02-28,Moderna,38150,Czechia
2021-02-28,Oxford/AstraZeneca,25946,Czechia
2021-02-28,Pfizer/BioNTech,603153,Czechia
2021-03-01,Pfizer/BioNTech,620437,Czechia
2021-03-01,Oxford/AstraZeneca,29976,Czechia
2021-03-01,Moderna,39748,Czechia
2021-03-02,Moderna,41621,Czechia
2021-03-02,Oxford/AstraZeneca,39374,Czechia
2021-03-02,Pfizer/BioNTech,639860,Czechia
2021-03-03,Moderna,45328,Czechia
2021-03-03,Oxford/AstraZeneca,49116,Czechia
2021-03-03,Pfizer/BioNTech,661659,Czechia
2021-03-04,Moderna,50081,Czechia
2021-03-04,Oxford/AstraZeneca,58491,Czechia
2021-03-04,Pfizer/BioNTech,685335,Czechia
2021-03-05,Oxford/AstraZeneca,66884,Czechia
2021-03-05,Pfizer/BioNTech,707428,Czechia
2021-03-05,Johnson&Johnson,1,Czechia
2021-03-05,Moderna,53696,Czechia
2021-03-06,Johnson&Johnson,3,Czechia
2021-03-06,Moderna,55096,Czechia
2021-03-06,Oxford/AstraZeneca,71368,Czechia
2021-03-06,Pfizer/BioNTech,714480,Czechia
2021-03-07,Johnson&Johnson,5,Czechia
2021-03-07,Moderna,56407,Czechia
2021-03-07,Oxford/AstraZeneca,75505,Czechia
2021-03-07,Pfizer/BioNTech,721254,Czechia
2021-03-08,Moderna,59491,Czechia
2021-03-08,Pfizer/BioNTech,744706,Czechia
2021-03-08,Johnson&Johnson,6,Czechia
2021-03-08,Oxford/AstraZeneca,83389,Czechia
2021-03-09,Johnson&Johnson,7,Czechia
2021-03-09,Moderna,64814,Czechia
2021-03-09,Oxford/AstraZeneca,94600,Czechia
2021-03-09,Pfizer/BioNTech,770698,Czechia
2021-03-10,Moderna,69817,Czechia
2021-03-10,Oxford/AstraZeneca,105512,Czechia
2021-03-10,Pfizer/BioNTech,802855,Czechia
2021-03-11,Pfizer/BioNTech,839775,Czechia
2021-03-11,Moderna,74107,Czechia
2021-03-11,Oxford/AstraZeneca,117312,Czechia
2021-03-12,Pfizer/BioNTech,869160,Czechia
2021-03-12,Oxford/AstraZeneca,129571,Czechia
2021-03-12,Moderna,79537,Czechia
2021-03-13,Moderna,80833,Czechia
2021-03-13,Oxford/AstraZeneca,132570,Czechia
2021-03-13,Pfizer/BioNTech,883181,Czechia
2021-03-14,Moderna,81968,Czechia
2021-03-14,Oxford/AstraZeneca,133483,Czechia
2021-03-14,Pfizer/BioNTech,894337,Czechia
2021-03-15,Moderna,88772,Czechia
2021-03-15,Oxford/AstraZeneca,141525,Czechia
2021-03-15,Pfizer/BioNTech,916533,Czechia
2021-03-16,Oxford/AstraZeneca,150273,Czechia
2021-03-16,Pfizer/BioNTech,947879,Czechia
2021-03-16,Johnson&Johnson,9,Czechia
2021-03-16,Moderna,97976,Czechia
2021-03-17,Moderna,105720,Czechia
2021-03-17,Oxford/AstraZeneca,159295,Czechia
2021-03-17,Pfizer/BioNTech,978980,Czechia
2021-03-18,Pfizer/BioNTech,1012704,Czechia
2021-03-18,Johnson&Johnson,12,Czechia
2021-03-18,Moderna,112869,Czechia
2021-03-18,Oxford/AstraZeneca,168639,Czechia
2021-03-19,Oxford/AstraZeneca,177446,Czechia
2021-03-19,Pfizer/BioNTech,1045737,Czechia
2021-03-19,Moderna,118938,Czechia
2021-03-20,Pfizer/BioNTech,1059262,Czechia
2021-03-20,Oxford/AstraZeneca,179876,Czechia
2021-03-20,Moderna,120082,Czechia
2021-03-20,Johnson&Johnson,13,Czechia
2021-03-21,Johnson&Johnson,14,Czechia
2021-03-21,Moderna,120402,Czechia
2021-03-21,Oxford/AstraZeneca,180351,Czechia
2021-03-21,Pfizer/BioNTech,1067388,Czechia
2021-03-22,Johnson&Johnson,15,Czechia
2021-03-22,Moderna,124701,Czechia
2021-03-22,Oxford/AstraZeneca,187221,Czechia
2021-03-22,Pfizer/BioNTech,1093061,Czechia
2021-03-23,Pfizer/BioNTech,1121398,Czechia
2021-03-23,Oxford/AstraZeneca,194856,Czechia
2021-03-23,Moderna,128551,Czechia
2021-03-23,Johnson&Johnson,16,Czechia
2021-03-24,Moderna,132706,Czechia
2021-03-24,Oxford/AstraZeneca,202630,Czechia
2021-03-24,Pfizer/BioNTech,1151941,Czechia
2021-03-25,Moderna,136753,Czechia
2021-03-25,Oxford/AstraZeneca,210148,Czechia
2021-03-25,Pfizer/BioNTech,1184446,Czechia
2021-03-26,Moderna,139313,Czechia
2021-03-26,Oxford/AstraZeneca,215901,Czechia
2021-03-26,Pfizer/BioNTech,1218311,Czechia
2021-03-27,Pfizer/BioNTech,1229412,Czechia
