date,vaccine,total_vaccinations,location
2021-02-19,Oxford/AstraZeneca,85949,Italy
2021-02-19,Pfizer/BioNTech,3305354,Italy
2021-02-20,Moderna,91529,Italy
2021-02-20,Oxford/AstraZeneca,105290,Italy
2021-02-20,Pfizer/BioNTech,3357973,Italy
2021-02-21,Moderna,97003,Italy
2021-02-21,Oxford/AstraZeneca,115971,Italy
2021-02-21,Pfizer/BioNTech,3392885,Italy
2021-02-22,Moderna,103112,Italy
2021-02-22,Oxford/AstraZeneca,139393,Italy
2021-02-22,Pfizer/BioNTech,3469068,Italy
2021-02-23,Moderna,108450,Italy
2021-02-23,Oxford/AstraZeneca,164253,Italy
2021-02-23,Pfizer/BioNTech,3545592,Italy
2021-02-24,Moderna,114709,Italy
2021-02-24,Oxford/AstraZeneca,191634,Italy
2021-02-24,Pfizer/BioNTech,3634127,Italy
2021-02-25,Moderna,120894,Italy
2021-02-25,Oxford/AstraZeneca,223425,Italy
2021-02-25,Pfizer/BioNTech,3724757,Italy
2021-02-26,Moderna,126705,Italy
2021-02-26,Oxford/AstraZeneca,263660,Italy
2021-02-26,Pfizer/BioNTech,3817154,Italy
2021-02-27,Moderna,133776,Italy
2021-02-27,Oxford/AstraZeneca,308473,Italy
2021-02-27,Pfizer/BioNTech,3892189,Italy
2021-02-28,Moderna,136503,Italy
2021-02-28,Oxford/AstraZeneca,335174,Italy
2021-02-28,Pfizer/BioNTech,3941152,Italy
2021-03-01,Moderna,143565,Italy
2021-03-01,Oxford/AstraZeneca,375658,Italy
2021-03-01,Pfizer/BioNTech,4029557,Italy
2021-03-02,Moderna,151070,Italy
2021-03-02,Oxford/AstraZeneca,432136,Italy
2021-03-02,Pfizer/BioNTech,4127883,Italy
2021-03-03,Moderna,160996,Italy
2021-03-03,Oxford/AstraZeneca,490521,Italy
2021-03-03,Pfizer/BioNTech,4247165,Italy
2021-03-04,Moderna,172001,Italy
2021-03-04,Oxford/AstraZeneca,551758,Italy
2021-03-04,Pfizer/BioNTech,4373285,Italy
2021-03-05,Moderna,184227,Italy
2021-03-05,Oxford/AstraZeneca,618570,Italy
2021-03-05,Pfizer/BioNTech,4500810,Italy
2021-03-06,Moderna,197536,Italy
2021-03-06,Oxford/AstraZeneca,682216,Italy
2021-03-06,Pfizer/BioNTech,4601748,Italy
2021-03-07,Moderna,205708,Italy
2021-03-07,Oxford/AstraZeneca,718882,Italy
2021-03-07,Pfizer/BioNTech,4660008,Italy
2021-03-08,Moderna,218038,Italy
2021-03-08,Oxford/AstraZeneca,779389,Italy
2021-03-08,Pfizer/BioNTech,4769108,Italy
2021-03-09,Moderna,230760,Italy
2021-03-09,Oxford/AstraZeneca,842925,Italy
2021-03-09,Pfizer/BioNTech,4888471,Italy
2021-03-10,Moderna,241899,Italy
2021-03-10,Oxford/AstraZeneca,910128,Italy
2021-03-10,Pfizer/BioNTech,5026307,Italy
2021-03-11,Moderna,254321,Italy
2021-03-11,Oxford/AstraZeneca,982174,Italy
2021-03-11,Pfizer/BioNTech,5166527,Italy
2021-03-12,Moderna,264297,Italy
2021-03-12,Oxford/AstraZeneca,1055302,Italy
2021-03-12,Pfizer/BioNTech,5295854,Italy
2021-03-13,Moderna,275661,Italy
2021-03-13,Oxford/AstraZeneca,1122548,Italy
2021-03-13,Pfizer/BioNTech,5394467,Italy
2021-03-14,Moderna,282639,Italy
2021-03-14,Oxford/AstraZeneca,1163399,Italy
2021-03-14,Pfizer/BioNTech,5452713,Italy
2021-03-15,Moderna,293740,Italy
2021-03-15,Oxford/AstraZeneca,1214618,Italy
2021-03-15,Pfizer/BioNTech,5565689,Italy
2021-03-16,Moderna,305741,Italy
2021-03-16,Oxford/AstraZeneca,1214813,Italy
2021-03-16,Pfizer/BioNTech,5693950,Italy
2021-03-17,Moderna,317409,Italy
2021-03-17,Oxford/AstraZeneca,1214853,Italy
2021-03-17,Pfizer/BioNTech,5848138,Italy
2021-03-18,Moderna,330460,Italy
2021-03-18,Oxford/AstraZeneca,1214952,Italy
2021-03-18,Pfizer/BioNTech,5998783,Italy
2021-03-19,Moderna,341851,Italy
2021-03-19,Oxford/AstraZeneca,1233595,Italy
2021-03-19,Pfizer/BioNTech,6144817,Italy
2021-03-20,Moderna,354300,Italy
2021-03-20,Oxford/AstraZeneca,1284813,Italy
2021-03-20,Pfizer/BioNTech,6257151,Italy
2021-03-21,Moderna,363894,Italy
2021-03-21,Oxford/AstraZeneca,1329571,Italy
2021-03-21,Pfizer/BioNTech,6333310,Italy
2021-03-22,Moderna,375943,Italy
2021-03-22,Oxford/AstraZeneca,1400702,Italy
2021-03-22,Pfizer/BioNTech,6446503,Italy
2021-03-23,Moderna,389756,Italy
2021-03-23,Oxford/AstraZeneca,1481364,Italy
2021-03-23,Pfizer/BioNTech,6578746,Italy
2021-03-24,Moderna,405383,Italy
2021-03-24,Oxford/AstraZeneca,1559136,Italy
2021-03-24,Pfizer/BioNTech,6742776,Italy
2021-03-25,Moderna,423835,Italy
2021-03-25,Oxford/AstraZeneca,1642133,Italy
2021-03-25,Pfizer/BioNTech,6912591,Italy
2021-03-26,Moderna,443174,Italy
2021-03-26,Oxford/AstraZeneca,1725975,Italy
2021-03-26,Pfizer/BioNTech,7081304,Italy
2021-03-27,Johnson&Johnson,2,Italy
2021-03-27,Moderna,472249,Italy
2021-03-27,Oxford/AstraZeneca,1794160,Italy
2021-03-27,Pfizer/BioNTech,7225268,Italy
2021-03-28,Moderna,489682,Italy
2021-03-28,Oxford/AstraZeneca,1849927,Italy
2021-03-28,Pfizer/BioNTech,7315705,Italy
2021-03-29,Moderna,514248,Italy
2021-03-29,Oxford/AstraZeneca,1923432,Italy
2021-03-29,Pfizer/BioNTech,7461282,Italy
2021-03-30,Johnson&Johnson,3,Italy
2021-03-30,Moderna,543383,Italy
2021-03-30,Oxford/AstraZeneca,1998556,Italy
2021-03-30,Pfizer/BioNTech,7626913,Italy
2021-03-31,Johnson&Johnson,18,Italy
2021-03-31,Moderna,566821,Italy
2021-03-31,Oxford/AstraZeneca,2070652,Italy
2021-03-31,Pfizer/BioNTech,7837796,Italy
2021-04-01,Moderna,592027,Italy
2021-04-01,Oxford/AstraZeneca,2126691,Italy
2021-04-01,Pfizer/BioNTech,8044404,Italy
2021-04-02,Moderna,622586,Italy
2021-04-02,Oxford/AstraZeneca,2193233,Italy
2021-04-02,Pfizer/BioNTech,8230087,Italy
2021-04-03,Johnson&Johnson,19,Italy
2021-04-03,Moderna,659007,Italy
2021-04-03,Oxford/AstraZeneca,2240654,Italy
2021-04-03,Pfizer/BioNTech,8376643,Italy
2021-04-04,Moderna,670984,Italy
2021-04-04,Oxford/AstraZeneca,2279015,Italy
2021-04-04,Pfizer/BioNTech,8422490,Italy
2021-04-05,Johnson&Johnson,22,Italy
2021-04-05,Moderna,691188,Italy
2021-04-05,Oxford/AstraZeneca,2338195,Italy
2021-04-05,Pfizer/BioNTech,8514099,Italy
2021-04-06,Johnson&Johnson,35,Italy
2021-04-06,Moderna,731857,Italy
2021-04-06,Oxford/AstraZeneca,2423644,Italy
2021-04-06,Pfizer/BioNTech,8674082,Italy
2021-04-07,Moderna,761933,Italy
2021-04-07,Oxford/AstraZeneca,2506665,Italy
2021-04-07,Pfizer/BioNTech,8893733,Italy
2021-04-08,Moderna,796319,Italy
2021-04-08,Oxford/AstraZeneca,2564492,Italy
2021-04-08,Pfizer/BioNTech,9140386,Italy
2021-04-09,Moderna,832008,Italy
2021-04-09,Oxford/AstraZeneca,2617623,Italy
2021-04-09,Pfizer/BioNTech,9387046,Italy
2021-04-10,Moderna,873149,Italy
2021-04-10,Oxford/AstraZeneca,2678589,Italy
2021-04-10,Pfizer/BioNTech,9606438,Italy
2021-04-11,Johnson&Johnson,38,Italy
2021-04-11,Moderna,891122,Italy
2021-04-11,Oxford/AstraZeneca,2716034,Italy
2021-04-11,Pfizer/BioNTech,9753310,Italy
2021-04-12,Moderna,915902,Italy
2021-04-12,Oxford/AstraZeneca,2794803,Italy
2021-04-12,Pfizer/BioNTech,9917414,Italy
2021-04-13,Moderna,944057,Italy
2021-04-13,Oxford/AstraZeneca,2890575,Italy
2021-04-13,Pfizer/BioNTech,10083214,Italy
2021-04-14,Johnson&Johnson,40,Italy
2021-04-14,Moderna,971202,Italy
2021-04-14,Oxford/AstraZeneca,2991540,Italy
2021-04-14,Pfizer/BioNTech,10276708,Italy
2021-04-15,Moderna,996303,Italy
2021-04-15,Oxford/AstraZeneca,3082394,Italy
2021-04-15,Pfizer/BioNTech,10513017,Italy
2021-04-16,Moderna,1017794,Italy
2021-04-16,Oxford/AstraZeneca,3190029,Italy
2021-04-16,Pfizer/BioNTech,10764405,Italy
2021-04-17,Moderna,1040204,Italy
2021-04-17,Oxford/AstraZeneca,3298863,Italy
2021-04-17,Pfizer/BioNTech,10993525,Italy
2021-04-18,Moderna,1053723,Italy
2021-04-18,Oxford/AstraZeneca,3371827,Italy
2021-04-18,Pfizer/BioNTech,11149598,Italy
2021-04-19,Moderna,1070955,Italy
2021-04-19,Oxford/AstraZeneca,3468297,Italy
2021-04-19,Pfizer/BioNTech,11347226,Italy
2021-04-20,Moderna,1094908,Italy
2021-04-20,Oxford/AstraZeneca,3565487,Italy
2021-04-20,Pfizer/BioNTech,11560079,Italy
2021-04-21,Moderna,1125139,Italy
2021-04-21,Oxford/AstraZeneca,3667581,Italy
2021-04-21,Pfizer/BioNTech,11801367,Italy
2021-04-22,Johnson&Johnson,330,Italy
2021-04-22,Moderna,1158187,Italy
2021-04-22,Oxford/AstraZeneca,3759216,Italy
2021-04-22,Pfizer/BioNTech,12076268,Italy
2021-04-23,Johnson&Johnson,873,Italy
2021-04-23,Moderna,1190907,Italy
2021-04-23,Oxford/AstraZeneca,3855586,Italy
2021-04-23,Pfizer/BioNTech,12352165,Italy
2021-04-24,Johnson&Johnson,3905,Italy
2021-04-24,Moderna,1233669,Italy
2021-04-24,Oxford/AstraZeneca,3949320,Italy
2021-04-24,Pfizer/BioNTech,12600093,Italy
2021-04-25,Johnson&Johnson,12654,Italy
2021-04-25,Moderna,1266357,Italy
2021-04-25,Oxford/AstraZeneca,4025172,Italy
2021-04-25,Pfizer/BioNTech,12750934,Italy
2021-04-26,Johnson&Johnson,21998,Italy
2021-04-26,Moderna,1305465,Italy
2021-04-26,Oxford/AstraZeneca,4089858,Italy
2021-04-26,Pfizer/BioNTech,12982677,Italy
2021-04-27,Johnson&Johnson,31811,Italy
2021-04-27,Moderna,1358971,Italy
2021-04-27,Oxford/AstraZeneca,4157761,Italy
2021-04-27,Pfizer/BioNTech,13225483,Italy
2021-04-28,Johnson&Johnson,40753,Italy
2021-04-28,Moderna,1413554,Italy
2021-04-28,Oxford/AstraZeneca,4234910,Italy
2021-04-28,Pfizer/BioNTech,13494225,Italy
2021-04-29,Johnson&Johnson,50865,Italy
2021-04-29,Moderna,1468496,Italy
2021-04-29,Oxford/AstraZeneca,4323904,Italy
2021-04-29,Pfizer/BioNTech,13870658,Italy
2021-04-30,Johnson&Johnson,65467,Italy
2021-04-30,Moderna,1517100,Italy
2021-04-30,Oxford/AstraZeneca,4410227,Italy
2021-04-30,Pfizer/BioNTech,14250299,Italy
2021-05-01,Johnson&Johnson,83304,Italy
2021-05-01,Moderna,1559708,Italy
2021-05-01,Oxford/AstraZeneca,4478125,Italy
2021-05-01,Pfizer/BioNTech,14555765,Italy
2021-05-02,Johnson&Johnson,94870,Italy
2021-05-02,Moderna,1590653,Italy
2021-05-02,Oxford/AstraZeneca,4542725,Italy
2021-05-02,Pfizer/BioNTech,14819128,Italy
2021-05-03,Johnson&Johnson,106726,Italy
2021-05-03,Moderna,1631234,Italy
2021-05-03,Oxford/AstraZeneca,4634835,Italy
2021-05-03,Pfizer/BioNTech,15087723,Italy
2021-05-04,Johnson&Johnson,118828,Italy
2021-05-04,Moderna,1691966,Italy
2021-05-04,Oxford/AstraZeneca,4751499,Italy
2021-05-04,Pfizer/BioNTech,15350833,Italy
2021-05-05,Johnson&Johnson,133137,Italy
2021-05-05,Moderna,1747241,Italy
2021-05-05,Oxford/AstraZeneca,4876713,Italy
2021-05-05,Pfizer/BioNTech,15642163,Italy
2021-05-06,Johnson&Johnson,146137,Italy
2021-05-06,Moderna,1795640,Italy
2021-05-06,Oxford/AstraZeneca,4988411,Italy
2021-05-06,Pfizer/BioNTech,15990178,Italy
2021-05-07,Johnson&Johnson,158651,Italy
2021-05-07,Moderna,1848744,Italy
2021-05-07,Oxford/AstraZeneca,5093782,Italy
2021-05-07,Pfizer/BioNTech,16364302,Italy
2021-05-08,Johnson&Johnson,175834,Italy
2021-05-08,Moderna,1909523,Italy
2021-05-08,Oxford/AstraZeneca,5197857,Italy
2021-05-08,Pfizer/BioNTech,16696113,Italy
2021-05-09,Johnson&Johnson,184863,Italy
2021-05-09,Moderna,1942573,Italy
2021-05-09,Oxford/AstraZeneca,5289079,Italy
2021-05-09,Pfizer/BioNTech,16946696,Italy
2021-05-10,Johnson&Johnson,192951,Italy
2021-05-10,Moderna,1984810,Italy
2021-05-10,Oxford/AstraZeneca,5397902,Italy
2021-05-10,Pfizer/BioNTech,17229223,Italy
2021-05-11,Johnson&Johnson,202887,Italy
2021-05-11,Moderna,2050822,Italy
2021-05-11,Oxford/AstraZeneca,5501067,Italy
2021-05-11,Pfizer/BioNTech,17507808,Italy
2021-05-12,Johnson&Johnson,211762,Italy
2021-05-12,Moderna,2113041,Italy
2021-05-12,Oxford/AstraZeneca,5602170,Italy
2021-05-12,Pfizer/BioNTech,17820616,Italy
2021-05-13,Johnson&Johnson,219979,Italy
2021-05-13,Moderna,2161774,Italy
2021-05-13,Oxford/AstraZeneca,5694878,Italy
2021-05-13,Pfizer/BioNTech,18200542,Italy
2021-05-14,Johnson&Johnson,228114,Italy
2021-05-14,Moderna,2212042,Italy
2021-05-14,Oxford/AstraZeneca,5792512,Italy
2021-05-14,Pfizer/BioNTech,18599643,Italy
2021-05-15,Johnson&Johnson,246052,Italy
2021-05-15,Moderna,2267339,Italy
2021-05-15,Oxford/AstraZeneca,5888827,Italy
2021-05-15,Pfizer/BioNTech,18975114,Italy
2021-05-16,Johnson&Johnson,262282,Italy
2021-05-16,Moderna,2302737,Italy
2021-05-16,Oxford/AstraZeneca,5968107,Italy
2021-05-16,Pfizer/BioNTech,19254415,Italy
2021-05-17,Johnson&Johnson,280253,Italy
2021-05-17,Moderna,2348474,Italy
2021-05-17,Oxford/AstraZeneca,6048970,Italy
2021-05-17,Pfizer/BioNTech,19577441,Italy
2021-05-18,Johnson&Johnson,298396,Italy
2021-05-18,Moderna,2401720,Italy
2021-05-18,Oxford/AstraZeneca,6146514,Italy
2021-05-18,Pfizer/BioNTech,19878223,Italy
2021-05-19,Johnson&Johnson,316806,Italy
2021-05-19,Moderna,2457215,Italy
2021-05-19,Oxford/AstraZeneca,6247954,Italy
2021-05-19,Pfizer/BioNTech,20190349,Italy
2021-05-20,Johnson&Johnson,336835,Italy
2021-05-20,Moderna,2497816,Italy
2021-05-20,Oxford/AstraZeneca,6337955,Italy
2021-05-20,Pfizer/BioNTech,20593741,Italy
2021-05-21,Johnson&Johnson,355468,Italy
2021-05-21,Moderna,2542894,Italy
2021-05-21,Oxford/AstraZeneca,6433336,Italy
2021-05-21,Pfizer/BioNTech,21006137,Italy
2021-05-22,Johnson&Johnson,393705,Italy
2021-05-22,Moderna,2609290,Italy
2021-05-22,Oxford/AstraZeneca,6519638,Italy
2021-05-22,Pfizer/BioNTech,21335891,Italy
2021-05-23,Johnson&Johnson,429672,Italy
2021-05-23,Moderna,2664566,Italy
2021-05-23,Oxford/AstraZeneca,6580128,Italy
2021-05-23,Pfizer/BioNTech,21591922,Italy
2021-05-24,Johnson&Johnson,462154,Italy
2021-05-24,Moderna,2734422,Italy
2021-05-24,Oxford/AstraZeneca,6660940,Italy
2021-05-24,Pfizer/BioNTech,21873462,Italy
2021-05-25,Johnson&Johnson,491533,Italy
2021-05-25,Moderna,2832791,Italy
2021-05-25,Oxford/AstraZeneca,6762868,Italy
2021-05-25,Pfizer/BioNTech,22123574,Italy
2021-05-26,Johnson&Johnson,522553,Italy
2021-05-26,Moderna,2940916,Italy
2021-05-26,Oxford/AstraZeneca,6869577,Italy
2021-05-26,Pfizer/BioNTech,22405320,Italy
2021-05-27,Johnson&Johnson,544598,Italy
2021-05-27,Moderna,3017970,Italy
2021-05-27,Oxford/AstraZeneca,6969599,Italy
2021-05-27,Pfizer/BioNTech,22796625,Italy
2021-05-28,Johnson&Johnson,565077,Italy
2021-05-28,Moderna,3081112,Italy
