date,total_vaccinations,vaccine,location
2021-05-01,63212,Johnson&Johnson,France
2021-05-02,63670,Johnson&Johnson,France
2021-05-03,68652,Johnson&Johnson,France
2021-05-04,76963,Johnson&Johnson,France
2021-05-05,83039,Johnson&Johnson,France
2021-05-06,94349,Johnson&Johnson,France
2021-05-07,113340,Johnson&Johnson,France
2021-05-08,115633,Johnson&Johnson,France
2021-05-09,116274,Johnson&Johnson,France
2021-05-10,123430,Johnson&Johnson,France
2021-05-11,137646,Johnson&Johnson,France
2021-05-12,147727,Johnson&Johnson,France
2021-05-13,149223,Johnson&Johnson,France
2021-05-14,156883,Johnson&Johnson,France
2021-05-15,160530,Johnson&Johnson,France
2021-05-16,160911,Johnson&Johnson,France
2021-05-17,165292,Johnson&Johnson,France
2021-05-18,173960,Johnson&Johnson,France
2021-05-19,179548,Johnson&Johnson,France
2021-05-20,188871,Johnson&Johnson,France
2021-05-21,201533,Johnson&Johnson,France
2021-05-22,206513,Johnson&Johnson,France
2021-05-23,206961,Johnson&Johnson,France
2021-05-24,207934,Johnson&Johnson,France
2021-05-25,215420,Johnson&Johnson,France
2021-05-26,223051,Johnson&Johnson,France
2021-05-27,237274,Johnson&Johnson,France
2021-05-28,263725,Johnson&Johnson,France
2021-05-29,274976,Johnson&Johnson,France
2021-05-30,275848,Johnson&Johnson,France
2021-05-31,288354,Johnson&Johnson,France
2021-06-01,308372,Johnson&Johnson,France
2021-06-02,322725,Johnson&Johnson,France
2021-06-03,341990,Johnson&Johnson,France
2021-06-04,364285,Johnson&Johnson,France
2021-06-05,373914,Johnson&Johnson,France
2021-06-06,374859,Johnson&Johnson,France
2021-06-07,383869,Johnson&Johnson,France
2021-06-08,398308,Johnson&Johnson,France
2021-06-09,410354,Johnson&Johnson,France
2021-06-10,425555,Johnson&Johnson,France
2021-06-11,442373,Johnson&Johnson,France
2021-06-12,449718,Johnson&Johnson,France
2021-06-13,450571,Johnson&Johnson,France
2021-06-14,457081,Johnson&Johnson,France
2021-06-15,467847,Johnson&Johnson,France
2021-06-16,476590,Johnson&Johnson,France
2021-06-17,487320,Johnson&Johnson,France
2021-06-18,499597,Johnson&Johnson,France
2021-06-19,505081,Johnson&Johnson,France
2021-06-20,505700,Johnson&Johnson,France
2021-06-21,510620,Johnson&Johnson,France
2021-06-22,518342,Johnson&Johnson,France
2021-06-23,525312,Johnson&Johnson,France
2021-06-24,533807,Johnson&Johnson,France
2021-06-25,543762,Johnson&Johnson,France
2021-06-26,548419,Johnson&Johnson,France
2021-06-27,549027,Johnson&Johnson,France
2021-06-28,553615,Johnson&Johnson,France
2021-06-29,560433,Johnson&Johnson,France
2021-06-30,566889,Johnson&Johnson,France
2021-07-01,574812,Johnson&Johnson,France
2021-07-02,584049,Johnson&Johnson,France
2021-07-03,588765,Johnson&Johnson,France
2021-07-04,589346,Johnson&Johnson,France
2021-07-05,593951,Johnson&Johnson,France
2021-07-06,601448,Johnson&Johnson,France
2021-07-07,608219,Johnson&Johnson,France
2021-07-08,617219,Johnson&Johnson,France
2021-07-09,627299,Johnson&Johnson,France
2021-07-10,631783,Johnson&Johnson,France
2021-07-11,632284,Johnson&Johnson,France
2021-07-12,637949,Johnson&Johnson,France
2021-07-13,651990,Johnson&Johnson,France
2021-07-14,654060,Johnson&Johnson,France
2021-07-15,672075,Johnson&Johnson,France
2021-07-16,694649,Johnson&Johnson,France
2021-07-17,704197,Johnson&Johnson,France
2021-07-18,705471,Johnson&Johnson,France
2021-07-19,718206,Johnson&Johnson,France
2021-07-20,735302,Johnson&Johnson,France
2021-07-21,750621,Johnson&Johnson,France
2021-07-22,768585,Johnson&Johnson,France
2021-07-23,788670,Johnson&Johnson,France
2021-07-24,797705,Johnson&Johnson,France
2021-07-25,798899,Johnson&Johnson,France
2021-07-26,809549,Johnson&Johnson,France
2021-07-27,823691,Johnson&Johnson,France
2021-07-28,835984,Johnson&Johnson,France
2021-07-29,849703,Johnson&Johnson,France
2021-07-30,864822,Johnson&Johnson,France
2021-07-31,871381,Johnson&Johnson,France
2021-08-01,872153,Johnson&Johnson,France
2021-08-02,879219,Johnson&Johnson,France
2021-08-03,889101,Johnson&Johnson,France
2021-08-04,897762,Johnson&Johnson,France
2021-08-05,906670,Johnson&Johnson,France
2021-08-06,916134,Johnson&Johnson,France
2021-08-07,920576,Johnson&Johnson,France
2021-08-08,921277,Johnson&Johnson,France
2021-08-09,926649,Johnson&Johnson,France
2021-08-10,934677,Johnson&Johnson,France
2021-08-11,942032,Johnson&Johnson,France
2021-08-12,949874,Johnson&Johnson,France
2021-08-13,956678,Johnson&Johnson,France
2021-08-14,959839,Johnson&Johnson,France
2021-08-15,960291,Johnson&Johnson,France
2021-08-16,963897,Johnson&Johnson,France
2021-08-17,969112,Johnson&Johnson,France
2021-08-18,973919,Johnson&Johnson,France
2021-08-19,978897,Johnson&Johnson,France
