iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
IRN,Asia,Iran,2021-08-19,4587683.0,31266.0,38202.429,100255.0,564.0,577.143,54619.856,372.246,454.829,1193.612,6.715,6.871,1.12,,,,,,,,,93631.0,27078261.0,322.387,1.115,96984.0,1.155,0.398,2.5,tests performed,19894523.0,15513459.0,4381064.0,,,525830.0,23.69,18.47,5.22,,6260.0,,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRQ,Asia,Iraq,2021-08-19,1809376.0,8012.0,8314.286,19958.0,72.0,70.286,44984.172,199.192,206.707,496.19,1.79,1.747,0.88,,,,,,,,,41613.0,13586857.0,337.792,1.035,43848.0,1.09,0.221,4.5,samples tested,2102550.0,,,,,29698.0,5.23,,,,738.0,,40222503.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,
IRL,Europe,Ireland,2021-08-19,331206.0,1818.0,1752.714,5074.0,0.0,2.143,67075.675,368.18,354.959,1027.584,0.0,0.434,1.12,48.0,9.721,248.0,50.225,13.925,2.82,158.147,32.028,,,,,,,,,,6456918.0,3543634.0,3141316.0,,20935.0,37835.0,130.77,71.77,63.62,,7662.0,48.15,4937796.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,
IMN,Europe,Isle of Man,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125632.0,65034.0,60598.0,,30.0,20.0,147.75,76.48,71.26,,235.0,,85032.0,147.872,,,,,,,,,,,,81.4,,
ISR,Asia,Israel,2021-08-19,970606.0,8413.0,6549.143,6752.0,29.0,21.143,112136.954,971.979,756.642,780.078,3.35,2.443,1.48,149.0,17.214,994.0,114.84,610.0,70.475,1153.0,133.209,152604.0,21286782.0,2459.324,17.631,122949.0,14.205,0.048,20.7,tests performed,12503731.0,5871448.0,5431121.0,1201162.0,81332.0,78825.0,144.46,67.83,62.75,13.88,9107.0,52.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,
ITA,Europe,Italy,2021-08-19,4464005.0,7240.0,6225.143,128634.0,55.0,42.857,73831.79,119.745,102.96,2127.524,0.91,0.709,1.05,384.0,6.351,3546.0,58.649,,,1231.712,20.372,160870.0,80606903.0,1333.187,2.661,204571.0,3.383,0.031,32.4,tests performed,74556087.0,41104041.0,34857420.0,,251437.0,220210.0,123.31,67.98,57.65,,3642.0,50.0,60461828.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,
JAM,North America,Jamaica,2021-08-19,59932.0,555.0,538.143,1342.0,3.0,10.571,20239.359,187.426,181.734,453.201,1.013,3.57,1.53,,,,,,,,,1856.0,520791.0,175.874,0.627,1564.0,0.528,0.282,3.5,samples tested,391076.0,256890.0,135115.0,,,3017.0,13.21,8.68,4.56,,1019.0,66.67,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,
JPN,Asia,Japan,2021-08-19,1232585.0,25073.0,20326.286,15553.0,26.0,26.0,9745.569,198.242,160.712,122.972,0.206,0.206,1.34,,,,,,,,,104174.0,19000346.0,150.228,0.824,107039.0,0.846,0.158,6.3,people tested,114664353.0,64673876.0,49990477.0,,1312843.0,1083255.0,90.66,51.14,39.53,,8565.0,50.46,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,
JEY,Europe,Jersey,2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145657.0,75249.0,70408.0,,,219.0,144.11,74.45,69.66,,2167.0,,101073.0,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-08-19,787367.0,782.0,975.0,10264.0,12.0,13.0,77169.087,76.643,95.559,1005.965,1.176,1.274,1.1,,,,,,,,,30370.0,8813260.0,863.779,2.977,23653.0,2.318,0.039,25.3,tests performed,5953209.0,3306810.0,2646399.0,,56137.0,38390.0,58.35,32.41,25.94,,3763.0,,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,
KAZ,Asia,Kazakhstan,2021-08-19,790205.0,7687.0,8741.286,11725.0,0.0,133.429,42084.323,409.39,465.539,624.444,0.0,7.106,1.02,,,,,,,,,,,,,,,,,,11003032.0,6183445.0,4819587.0,,94448.0,88336.0,58.6,32.93,25.67,,4705.0,62.96,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KEN,Africa,Kenya,2021-08-19,225663.0,1263.0,1198.143,4404.0,26.0,18.714,4196.718,23.488,22.282,81.902,0.484,0.348,1.14,,,,,,,,,,,,,,,,,,2154825.0,1393905.0,760920.0,,20440.0,38977.0,4.01,2.59,1.42,,725.0,72.22,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,
KIR,Oceania,Kiribati,2021-08-19,2.0,0.0,0.0,,,0.0,16.744,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,13970.0,13970.0,,,,202.0,11.7,11.7,,,1691.0,37.5,119446.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,
OWID_KOS,Europe,Kosovo,2021-08-19,123098.0,2236.0,1492.143,2303.0,8.0,3.857,63689.805,1156.886,772.021,1191.552,4.139,1.996,2.18,,,,,,,,,5646.0,814832.0,421.587,2.921,6905.0,3.573,0.131,7.7,tests performed,601701.0,388422.0,213279.0,,16920.0,13841.0,31.13,20.1,11.03,,7161.0,32.41,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,,
KWT,Asia,Kuwait,2021-08-19,407652.0,276.0,315.714,2399.0,2.0,2.714,95456.267,64.628,73.928,561.753,0.468,0.636,0.59,,,,,,,,,12619.0,3565742.0,834.958,2.955,13496.0,3.16,0.04,25.2,tests performed,,2668082.0,,,,,,62.48,,,,60.19,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,
KGZ,Asia,Kyrgyzstan,2021-08-19,173186.0,249.0,345.143,2468.0,6.0,6.0,26545.207,38.166,52.902,378.284,0.92,0.92,0.71,,,,,,,,,,,,,,,,,,932744.0,618384.0,312948.0,,21112.0,18113.0,14.3,9.48,4.8,,2776.0,57.41,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,
LAO,Asia,Laos,2021-08-19,11313.0,284.0,278.571,9.0,0.0,0.0,1554.933,39.035,38.289,1.237,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,3371785.0,1828039.0,1543746.0,,,88016.0,46.34,25.13,21.22,,12097.0,53.7,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,
