iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MMR,Asia,Myanmar,2021-08-19,365759.0,2590.0,3004.143,13945.0,159.0,182.571,6722.301,47.602,55.213,256.296,2.922,3.355,0.88,,,,,,,,,13767.0,3298004.0,60.614,0.253,12631.0,0.232,0.296,3.4,samples tested,,,,,,,,,,,,66.2,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,
NAM,Africa,Namibia,2021-08-19,123082.0,197.0,180.714,3316.0,16.0,10.286,48440.011,77.531,71.122,1305.041,6.297,4.048,0.65,,,,,,,,,1567.0,631650.0,248.591,0.617,1852.0,0.729,0.125,8.0,samples tested,268556.0,187892.0,80664.0,,3837.0,5250.0,10.57,7.39,3.17,,2066.0,44.44,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,
NPL,Asia,Nepal,2021-08-19,742228.0,2321.0,2351.286,10429.0,33.0,31.0,25473.895,79.659,80.698,357.932,1.133,1.064,0.98,,,,,,,,,10806.0,3729109.0,127.986,0.371,10395.0,0.357,0.243,4.1,tests performed,8435662.0,4785902.0,3649760.0,,84133.0,139536.0,28.95,16.43,12.53,,4789.0,64.81,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,
NLD,Europe,Netherlands,2021-08-19,1945351.0,2806.0,2647.571,18252.0,10.0,8.0,113531.685,163.76,154.514,1065.196,0.584,0.467,0.93,200.0,11.672,471.0,27.488,88.59,5.17,401.608,23.438,,12083348.0,705.19,,16246.0,0.948,0.063,15.9,people tested,21656612.0,11905671.0,10532376.0,,,83080.0,126.39,69.48,61.47,,4849.0,36.11,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,
NCL,Oceania,New Caledonia,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139022.0,73556.0,65466.0,,,745.0,48.7,25.76,22.93,,2610.0,,285491.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,
NZL,Oceania,New Zealand,2021-08-19,2969.0,32.0,7.714,26.0,0.0,0.0,615.69,6.636,1.6,5.392,0.0,0.0,1.23,,,,,,,,,6059.0,2564395.0,531.786,1.256,5052.0,1.048,0.001,1448.5,tests performed,2610013.0,1655598.0,954415.0,,55688.0,45045.0,54.12,34.33,19.79,,9341.0,22.22,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,
NIC,North America,Nicaragua,2021-08-19,10672.0,421.0,60.143,198.0,1.0,0.143,1610.976,63.551,9.079,29.889,0.151,0.022,0.01,,,,,,,,,,,,,,,,,,580127.0,382519.0,197608.0,,,5140.0,8.76,5.77,2.98,,776.0,2.78,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NER,Africa,Niger,2021-08-19,5750.0,9.0,4.857,196.0,0.0,0.0,237.538,0.372,0.201,8.097,0.0,0.0,1.09,,,,,,,,,,,,,,,,,,485954.0,401272.0,84682.0,,,8639.0,2.01,1.66,0.35,,357.0,19.44,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,
NGA,Africa,Nigeria,2021-08-19,185267.0,1823.0,658.0,2244.0,15.0,6.286,898.745,8.844,3.192,10.886,0.073,0.03,1.2,,,,,,,,,,2648684.0,12.849,,7444.0,0.036,0.088,11.4,samples tested,3967013.0,2550390.0,1416623.0,,,1002.0,1.92,1.24,0.69,,5.0,43.52,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,
NIU,Oceania,Niue,2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406.0,,,,,35.0,148.7,,,,21632.0,,1618.0,,,,,,,,,,,,,73.71,,
OWID_NAM,,North America,2021-08-19,44758065.0,185098.0,180153.571,950691.0,1955.0,1736.429,75595.619,312.627,304.276,1605.701,3.302,2.933,,,,,,,,,,,,,,,,,,,535103305.0,308654864.0,237951010.0,,934827.0,2146390.0,90.38,52.13,40.19,,3625.0,,592072204.0,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-08-19,165684.0,1155.0,825.143,5608.0,19.0,11.571,79526.539,554.388,396.06,2691.78,9.12,5.554,2.04,,,,,,,,,,1045431.0,501.796,,5659.0,2.716,0.108,9.2,tests performed,1033584.0,571392.0,462192.0,,16884.0,12693.0,49.61,27.43,22.18,,6093.0,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
OWID_CYN,Asia,Northern Cyprus,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302854.0,160361.0,142493.0,,,2206.0,79.23,41.95,37.28,,5771.0,,,,,,,,,,,,,,,,,
NOR,Europe,Norway,2021-08-19,147058.0,685.0,594.714,811.0,0.0,0.571,27126.256,126.355,109.701,149.597,0.0,0.105,1.23,,,25.0,4.611,2.02,0.373,31.31,5.775,8632.0,6769438.0,1248.688,1.592,16111.0,2.972,0.032,31.6,people tested,6071556.0,3775488.0,2296068.0,,44740.0,47353.0,112.0,69.64,42.35,,8735.0,47.22,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,
OWID_OCE,,Oceania,2021-08-19,105674.0,1520.0,1134.571,1616.0,12.0,14.714,2476.088,35.616,26.585,37.865,0.281,0.345,,,,,,,,,,,,,,,,,,,20009819.0,12958157.0,7050472.0,,273869.0,293917.0,46.89,30.36,16.52,,6887.0,,42677809.0,,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-08-19,300914.0,186.0,181.714,4020.0,7.0,6.571,58926.233,36.423,35.584,787.213,1.371,1.287,0.72,,,,,,,,,,,,,,,,,,2951658.0,2155932.0,795726.0,,,42143.0,57.8,42.22,15.58,,8253.0,50.0,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
PAK,Asia,Pakistan,2021-08-19,1116886.0,3239.0,3853.286,24783.0,70.0,73.857,5056.246,14.663,17.444,112.195,0.317,0.334,0.99,,,,,,,,,59136.0,16950196.0,76.735,0.268,56965.0,0.258,0.075,13.3,tests performed,44736977.0,35873735.0,12795662.0,,414760.0,581838.0,20.25,16.24,5.79,,2634.0,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
PSE,Asia,Palestine,2021-08-19,323582.0,962.0,622.714,3628.0,1.0,1.0,63429.84,188.575,122.067,711.175,0.196,0.196,1.75,,,,,,,,,5040.0,,,0.988,4172.0,0.818,0.058,17.3,tests performed,1078213.0,648395.0,429818.0,,11975.0,5635.0,21.14,12.71,8.43,,1105.0,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,
PAN,North America,Panama,2021-08-19,450624.0,862.0,710.429,6990.0,9.0,8.286,104437.597,199.779,164.65,1620.018,2.086,1.92,0.9,,,,,,,,,11724.0,3474388.0,805.232,2.717,10048.0,2.329,0.084,11.9,tests performed,3583003.0,2620480.0,962525.0,,75165.0,57268.0,83.04,60.73,22.31,,13273.0,,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PNG,Oceania,Papua New Guinea,2021-08-19,17832.0,0.0,3.714,192.0,0.0,0.0,1993.064,0.0,0.415,21.46,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,113052.0,91962.0,21090.0,,,903.0,1.26,1.03,0.24,,101.0,49.07,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,
PRY,South America,Paraguay,2021-08-19,457349.0,127.0,151.143,15508.0,16.0,17.857,64121.567,17.806,21.191,2174.264,2.243,2.504,0.6,,,,,,,,,3270.0,1712947.0,240.16,0.458,3344.0,0.469,0.097,10.3,tests performed,2227705.0,,,,3890.0,3291.0,31.23,,,,461.0,,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-08-19,2138666.0,1371.0,1235.429,197716.0,57.0,72.429,64863.399,41.581,37.469,5996.51,1.729,2.197,0.92,,,,,,,,,,,,,,,,,,16393325.0,9307189.0,7086136.0,,62420.0,113518.0,49.72,28.23,21.49,,3443.0,74.07,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,31.67
PHL,Asia,Philippines,2021-08-19,1791003.0,14508.0,12948.571,30881.0,258.0,191.714,16344.089,132.395,118.164,281.81,2.354,1.75,1.26,,,,,,,,,36439.0,16624411.0,151.709,0.333,52869.0,0.482,0.223,4.5,people tested,29127240.0,16250043.0,12877197.0,,501612.0,428534.0,26.58,14.83,11.75,,3911.0,63.43,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,
POL,Europe,Poland,2021-08-19,2886079.0,196.0,185.571,75311.0,4.0,2.857,76257.276,5.179,4.903,1989.901,0.106,0.075,1.19,,,317.0,8.376,,,,,39320.0,18659033.0,493.017,1.039,38832.0,1.026,0.004,235.1,people tested,35528975.0,18890548.0,18244397.0,,54486.0,59264.0,93.88,49.91,48.21,,1566.0,38.89,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,
PRT,Europe,Portugal,2021-08-19,1012125.0,2554.0,2310.857,17613.0,12.0,12.571,99259.987,250.473,226.628,1727.322,1.177,1.233,0.98,157.0,15.397,744.0,72.965,,,77.248,7.576,58231.0,16178925.0,1586.681,5.711,56869.0,5.577,0.041,24.7,tests performed,13791078.0,7913736.0,6817892.0,,80817.0,93585.0,135.25,77.61,66.86,,9178.0,58.33,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,
QAT,Asia,Qatar,2021-08-19,230221.0,306.0,239.714,601.0,0.0,0.0,79908.436,106.211,83.204,208.604,0.0,0.0,1.2,,,,,,,,,6085.0,2420179.0,840.031,2.112,5567.0,1.932,0.039,25.5,people tested,4179382.0,2244116.0,1935266.0,,16591.0,20118.0,145.06,77.89,67.17,,6983.0,,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
ROU,Europe,Romania,2021-08-19,1089189.0,595.0,440.0,34379.0,14.0,6.429,56617.476,30.929,22.872,1787.066,0.728,0.334,1.45,112.0,5.822,,,,,671.817,34.922,,8889244.0,462.075,,10389.0,0.54,0.031,32.1,tests performed,9613888.0,5137362.0,5012813.0,,13388.0,11839.0,49.97,26.7,26.06,,615.0,38.43,19237682.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,
RUS,Europe,Russia,2021-08-19,6592705.0,20459.0,20782.286,170716.0,768.0,787.857,45175.793,140.193,142.408,1169.813,5.263,5.399,0.96,,,,,,,,,,172840809.0,1184.373,,439582.0,3.012,0.048,20.9,tests performed,74425863.0,41258604.0,33167259.0,,425209.0,916538.0,51.0,28.27,22.73,,6280.0,46.76,145934460.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,
RWA,Africa,Rwanda,2021-08-19,81835.0,496.0,504.571,996.0,16.0,9.429,6318.227,38.295,38.956,76.898,1.235,0.728,0.77,,,,,,,,,11638.0,2242105.0,173.106,0.899,10947.0,0.845,0.047,21.2,samples tested,1073302.0,680470.0,392832.0,,,12921.0,8.29,5.25,3.03,,998.0,54.63,12952209.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,
KNA,North America,Saint Kitts and Nevis,2021-08-19,742.0,34.0,16.0,3.0,0.0,0.0,13949.466,639.194,300.797,56.399,0.0,0.0,1.87,,,,,,,,,252.0,27817.0,522.955,4.738,125.0,2.35,0.04,24.8,people tested,44124.0,24030.0,20094.0,,,57.0,82.95,45.18,37.78,,1072.0,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,
LCA,North America,Saint Lucia,2021-08-19,6857.0,279.0,106.429,97.0,2.0,0.286,37341.596,1519.368,579.585,528.239,10.892,1.556,1.51,,,,,,,,,,,,,,,,,,60032.0,33702.0,26330.0,,218.0,209.0,32.69,18.35,14.34,,1138.0,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,
VCT,North America,Saint Vincent and the Grenadines,2021-08-19,2320.0,0.0,1.857,12.0,0.0,0.0,20910.885,0.0,16.739,108.16,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,25833.0,15799.0,10034.0,,,9.0,23.28,14.24,9.04,,81.0,,110947.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,
WSM,Oceania,Samoa,2021-08-19,3.0,0.0,0.0,,,0.0,15.12,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,111250.0,79072.0,32178.0,,,1520.0,56.07,39.85,16.22,,7661.0,,198410.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,
SMR,Europe,San Marino,2021-08-19,5231.0,0.0,5.286,90.0,0.0,0.0,154134.009,0.0,155.746,2651.895,0.0,0.0,0.06,,,,,,,,,,,,,,,,,,46069.0,23709.0,23709.0,,2.0,17.0,135.74,69.86,69.86,,501.0,38.89,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,
STP,Africa,Sao Tome and Principe,2021-08-19,2502.0,6.0,3.143,37.0,0.0,0.0,11416.265,27.377,14.34,168.826,0.0,0.0,0.93,,,,,,,,,,,,,,,,,,43987.0,32114.0,11873.0,,,1.0,20.07,14.65,5.42,,5.0,,219161.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,
SAU,Asia,Saudi Arabia,2021-08-19,540244.0,1115.0,1187.0,8439.0,20.0,18.286,15518.069,32.027,34.096,242.403,0.574,0.525,0.9,,,,,,,,,79383.0,26565684.0,763.078,2.28,79628.0,2.287,0.013,77.5,tests performed,32940547.0,21109035.0,11831512.0,,328469.0,291236.0,94.62,60.63,33.99,,8366.0,,34813867.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,
SEN,Africa,Senegal,2021-08-19,71441.0,175.0,266.429,1641.0,5.0,12.429,4266.681,10.452,15.912,98.006,0.299,0.742,0.65,,,,,,,,,2808.0,712864.0,42.574,0.168,3317.0,0.198,0.122,8.2,tests performed,1451106.0,1109720.0,341386.0,,,13002.0,8.67,6.63,2.04,,777.0,19.44,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,
SRB,Europe,Serbia,2021-08-19,737969.0,1656.0,1259.857,7188.0,5.0,5.143,108451.552,243.365,185.148,1056.345,0.735,0.756,1.59,,,,,,,,,11761.0,4831558.0,710.043,1.728,10824.0,1.591,0.091,11.0,people tested,5649434.0,2881963.0,2766182.0,,8814.0,6927.0,83.02,42.35,40.65,,1018.0,36.11,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,
SYC,Africa,Seychelles,2021-08-19,19390.0,204.0,70.714,101.0,0.0,0.429,197173.073,2074.436,719.08,1027.049,0.0,4.358,0.87,,,,,,,,,,,,,,,,,,143490.0,73777.0,69713.0,,,114.0,145.91,75.02,70.89,,1159.0,84.26,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,
SLE,Africa,Sierra Leone,2021-08-19,6347.0,1.0,2.143,121.0,0.0,0.0,795.664,0.125,0.269,15.169,0.0,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.98,7976985.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,
SGP,Asia,Singapore,2021-08-19,66366.0,32.0,50.571,46.0,0.0,0.429,11343.95,5.47,8.644,7.863,0.0,0.073,0.78,,,,,,,,,,16614807.0,2839.971,,58372.0,9.978,0.002,655.9,samples tested,8547113.0,4507848.0,4169030.0,,97219.0,72074.0,146.1,77.05,71.26,,12320.0,47.22,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SXM,North America,Sint Maarten (Dutch part),2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47084.0,24797.0,22287.0,,,84.0,109.8,57.83,51.97,,1959.0,,42882.0,1209.088,,,,36327.232,,,,,,,,78.95,,
SVK,Europe,Slovakia,2021-08-19,393799.0,77.0,71.0,12547.0,0.0,0.429,72129.075,14.103,13.005,2298.136,0.0,0.078,1.17,,,45.0,8.242,,,3.001,0.55,11094.0,40846316.0,7481.499,2.032,13806.0,2.529,0.007,142.9,tests performed,4440531.0,2331722.0,2108809.0,,540.0,7754.0,81.33,42.71,38.63,,1420.0,43.98,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVN,Europe,Slovenia,2021-08-19,262571.0,382.0,243.429,4438.0,2.0,0.714,126300.908,183.748,117.093,2134.75,0.962,0.344,1.38,9.0,4.329,43.0,20.684,5.952,2.863,38.685,18.608,2058.0,1416341.0,681.283,0.99,1613.0,0.776,0.127,7.9,tests performed,1826160.0,964120.0,862040.0,,7544.0,5434.0,87.84,46.38,41.47,,2614.0,29.63,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,
SLB,Oceania,Solomon Islands,2021-08-19,20.0,0.0,0.0,,,0.0,29.117,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,63320.0,48883.0,14437.0,,,957.0,9.22,7.12,2.1,,1393.0,,686878.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,
SOM,Africa,Somalia,2021-08-19,16535.0,0.0,48.571,897.0,0.0,3.857,1040.381,0.0,3.056,56.439,0.0,0.243,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,15893219.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,
ZAF,Africa,South Africa,2021-08-19,2652652.0,13671.0,12020.143,78694.0,317.0,349.571,44726.194,230.506,202.671,1326.854,5.345,5.894,1.08,,,,,,,,,,,,,,,,,,9962111.0,7702298.0,4482893.0,,170413.0,137633.0,16.8,12.99,7.56,,2321.0,51.85,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,
OWID_SAM,,South America,2021-08-19,36456176.0,55910.0,44621.857,1117507.0,1578.0,1304.286,84632.267,129.794,103.589,2594.27,3.663,3.028,,,,,,,,,,,,,,,,,,,314245871.0,213986387.0,107372960.0,113641.0,410008.0,2431950.0,72.95,49.68,24.93,0.03,5646.0,,430759772.0,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-08-19,232859.0,2051.0,1811.0,2197.0,6.0,7.571,4541.89,40.005,35.323,42.852,0.117,0.148,0.94,,,,,,,,,28143.0,11784297.0,229.851,0.549,19733.0,0.385,0.071,14.1,people tested,33988671.0,24306127.0,10812327.0,,837422.0,724661.0,66.29,47.41,21.09,,14134.0,50.93,51269183.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
SSD,Africa,South Sudan,2021-08-19,11227.0,4.0,12.0,120.0,0.0,0.0,1002.972,0.357,1.072,10.72,0.0,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11193729.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,
ESP,Europe,Spain,2021-08-19,4758003.0,12445.0,11445.714,83004.0,121.0,85.286,101765.054,266.176,244.803,1775.305,2.588,1.824,0.77,,,,,55.316,1.183,1311.788,28.057,,,,,,,,,,62193144.0,35072910.0,30261332.0,,469973.0,323714.0,133.02,75.01,64.72,,6924.0,47.69,46754783.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,
LKA,Asia,Sri Lanka,2021-08-19,373165.0,3806.0,4006.714,6790.0,186.0,167.143,17426.827,177.74,187.114,317.093,8.686,7.806,1.38,,,,,,,,,18174.0,4668769.0,218.032,0.849,17993.0,0.84,0.191,5.2,tests performed,16920027.0,11963739.0,4956288.0,,138622.0,285096.0,79.02,55.87,23.15,,13314.0,79.63,21413250.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,
SDN,Africa,Sudan,2021-08-19,37616.0,0.0,12.0,2820.0,2.0,2.429,857.848,0.0,0.274,64.311,0.046,0.055,0.22,,,,,,,,,,,,,,,,,,823881.0,641154.0,,,,606.0,1.88,1.46,,,14.0,,43849269.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,
SUR,South America,Suriname,2021-08-19,27070.0,154.0,107.429,696.0,4.0,3.429,46144.615,262.515,183.127,1186.43,6.819,5.844,1.11,,,,,,,,,,,,,,,,,,285217.0,194371.0,90846.0,,1928.0,2650.0,48.62,33.13,15.49,,4517.0,,586634.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
SWE,Europe,Sweden,2021-08-19,1115566.0,1288.0,922.0,14664.0,2.0,0.857,110460.063,127.534,91.294,1451.986,0.198,0.085,1.41,28.0,2.772,173.0,17.13,16.624,1.646,,,12950.0,,,1.282,12950.0,1.282,0.05,20.2,tests performed,11592541.0,6589191.0,5003350.0,,97337.0,55419.0,114.79,65.24,49.54,,5487.0,37.04,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,
CHE,Europe,Switzerland,2021-08-19,750186.0,2790.0,2415.857,10934.0,-1.0,2.0,86680.429,322.371,279.141,1263.372,-0.116,0.231,1.68,163.0,18.834,604.0,69.789,,,307.0,35.472,19622.0,8952843.0,1034.458,2.267,19564.0,2.261,0.112,8.9,tests performed,9301770.0,4807013.0,4323274.0,,22937.0,18724.0,107.48,55.54,49.95,,2163.0,44.44,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,
SYR,Asia,Syria,2021-08-19,26634.0,80.0,61.286,1953.0,6.0,3.286,1521.886,4.571,3.502,111.596,0.343,0.188,1.91,,,,,,,,,,,,,,,,,,355000.0,,,,,7219.0,2.03,,,,412.0,43.98,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,
TWN,Asia,Taiwan,2021-08-19,15897.0,6.0,11.0,826.0,5.0,1.286,667.471,0.252,0.462,34.681,0.21,0.054,0.85,,,,,,,,,16277.0,2382988.0,100.055,0.683,18583.0,0.78,0.001,1806.6,people tested,9985997.0,9260988.0,725009.0,,34963.0,78966.0,41.93,38.88,3.04,,3316.0,56.48,23816775.0,,42.2,,8.353,,,103.957,,,,,,80.46,,
TJK,Asia,Tajikistan,2021-08-19,16326.0,51.0,66.286,124.0,0.0,0.143,1711.744,5.347,6.95,13.001,0.0,0.015,1.0,,,,,,,,,,,,,,,,,,1967958.0,1755958.0,212000.0,,,54139.0,20.63,18.41,2.22,,5676.0,35.19,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,
TZA,Africa,Tanzania,2021-08-19,1367.0,0.0,0.0,50.0,0.0,0.0,22.885,0.0,0.0,0.837,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,218621.0,218621.0,218621.0,,,14110.0,0.37,0.37,0.37,,236.0,16.67,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,
THA,Asia,Thailand,2021-08-19,989859.0,20902.0,21441.143,8586.0,301.0,234.857,14181.366,299.456,307.18,123.009,4.312,3.365,1.09,,,,,,,,,,,,,,,,,,25167060.0,19143574.0,5503882.0,519604.0,548311.0,411177.0,36.06,27.43,7.89,0.74,5891.0,72.22,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
TLS,Asia,Timor,2021-08-19,13433.0,278.0,223.286,41.0,1.0,1.714,10188.541,210.855,169.356,31.097,0.758,1.3,1.6,,,,,,,,,1147.0,170647.0,129.431,0.87,862.0,0.654,0.198,5.0,tests performed,491569.0,348548.0,143021.0,,,6834.0,37.28,26.44,10.85,,5183.0,64.35,1318442.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,
TGO,Africa,Togo,2021-08-19,18605.0,0.0,167.286,172.0,0.0,1.286,2247.323,0.0,20.207,20.776,0.0,0.155,1.34,,,,,,,,,1879.0,425908.0,51.446,0.227,1856.0,0.224,0.093,10.8,tests performed,,,,,,,,,,,,50.93,8278737.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,
TKL,Oceania,Tokelau,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0,968.0,,,,1.0,71.7,71.7,,,741.0,,1350.0,,,,,,,,,,,,,81.86,,
TTO,North America,Trinidad and Tobago,2021-08-19,42582.0,155.0,196.429,1208.0,8.0,7.0,30426.777,110.755,140.357,863.171,5.716,5.002,1.09,,,,,,,,,4993.0,283910.0,202.867,3.568,1350.0,0.965,0.149,6.7,people tested,800795.0,461528.0,339267.0,,13067.0,16122.0,57.22,32.98,24.24,,11520.0,,1399491.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,
